source,rating,date,got_response,text
google,5,2026-05-21,true,"I’ve been coming to Mavis Discount Tire for a while now, and they’re always professional, attentive, and kind. They do a great job every time, and my car always leaves running perfectly. Highly recommend!"
google,5,2026-05-15,false,Very professional awesome service
google,5,2026-05-14,true,Jelcey and Jessica were so pleasant !!! And I was in and out in no time. Great service !
google,5,2026-05-14,true,Roy’s the goat he’s the best mechanic around!!
google,5,2026-05-14,true,oil change
google,5,2026-05-14,true,Mavis in Lakewood is the absolute best!!! The girls in the office are awesome! And the guys in the shop are such hardworking gentleman :)
google,5,2026-05-13,true,Great service great customer service
google,5,2026-05-11,true,It was fast smooth and very Polite
google,5,2026-05-11,true,"Had a great experience at Mavis Discount Tire. They replaced my tie rod and ball joint and got everything taken care of quickly and professionally. Car drives smooth again and the staff was honest, helpful, and kept me updated throughout the process. Definitely appreciate the quality work and customer service. Highly recommend!"
google,5,2026-05-09,true,"The price for the tires was very reasonable. The person at the front desk was very friendly and knowledgeable. The technician was very efficient, neat and friendly. The place was not crowded and I was able to get my tires changed very quickly."
google,1,2026-05-05,true,If they won’t give prices for 4 tires installed over the phone it means they are pressure sales company. No thanks
google,5,2026-04-29,true,Tom was very friendly and helpful with choosing new tires! smooth and quick process
google,5,2026-04-29,true,"Great people. Have brought tires here many times along with getting oil changes. The staff here is always quick, efficient and friendly.  I always come back here.
They even helped me with quad tires which was really helpful and impressive!"
google,5,2026-04-27,true,Great service
google,5,2026-04-26,true,Everyone was so pleasant and attentive. I recommend you bring your car for services!
google,5,2026-04-24,true,"Great customer service and a very hardworking team. Out of all the Mavis Tire locations I’ve been to, this one stands out the most. Jess is the best—the manager really goes above and beyond, and you can tell everyone here works hard to take care of customers. Highly recommend!

- Brooke"
google,5,2026-04-24,true,"Jessica, the assistant manager was so helpful and informative!"
google,5,2026-04-24,true,Amazing customer service nd great work!  Got brakes done; new rotors; tire alignment plus great service!  Doesn’t get any better than that!  Thank you Mavis!
google,5,2026-04-23,true,"Gian the G.O.A.T

Edgar the G.O.A.T

Roy the G.O.A.T"
google,5,2026-04-21,true,Very fast and professional never had an issue with them definitely recommend
google,5,2026-04-21,true,Jose was the best. The shop is great and the guys are amazing very fast and efficient.
google,5,2026-04-21,true,Did a good service on my truck
google,5,2026-04-17,true,Very nice people and very nice service thanks for take care my beautiful car
google,5,2026-04-16,true,omg great customer service shout out to jelcey.!! you guys are the best.! will be recommending to my friends and family
google,5,2026-04-16,true,Jelcey and Jessica were amazing and helped me out with good pricing.
google,5,2026-04-12,true,Wonderful staff hands down. The front desk ladies were amazing and made feel comfortable. They were fast but very efficient with my car. Amazing all around!!!
google,5,2026-04-12,true,Best place to get work done on your car by far!!! Jessica and jelsea were the absolute sweetest!!!
google,5,2026-04-10,true,Always does a great job and very helpful.
google,5,2026-04-09,true,great price and quick work i recommend this place
google,5,2026-04-08,true,Awesome!!!
google,5,2026-04-07,true,Great experience
google,5,2026-04-03,true,The lady at the desk was friendly and encouraging.
google,5,2026-04-01,true,Amazing service . Amazing people . So friendly. And a pleasure to bring my car there .
google,5,2026-03-31,true,Great!!
google,2,2026-03-28,true,"I honestly, dont recommend this location. VERY poor communication. To customers, and fellow employees.
Very poor. New tires sure, oil change okay… outside of that, go elsewhere"
google,5,2026-03-25,true,This place is amazing fast amazing service the best staff the best service I would give them a 10 out of 10 and a big shout out to Tom and Jessica
google,5,2026-03-25,true,"Always awesome every visit, thank you"
google,5,2026-03-24,true,"5 stars for Mavis Tire in Lakewood, NJ! The service was fast, professional, and easy from start to finish. Gian was very helpful and made sure everything was explained clearly. He was friendly, attentive, and made the whole experience a positive one. I’ll definitely be coming back and would recommend this location to anyone."
google,5,2026-03-22,true,"Badly damaged tire, sold me 4 new tires due to low tread with $100 discount. Installed, balanced and aligned in one hour at the end of a Sunday work day. Knowledgeable salesmen and efficient crew of at least two getting the job done. AI search said price was competitive for Eagle replacement tires. Overall good experience"
yelp,5,2026-03-22,false,"had an 11am appointment and was seen almost immediately, my car was serviced promptly and professionally."
google,5,2026-03-21,true,Couldn’t be happier with the service I received at the Lakewood Mavis. Helpful and knowledgeable employees made my visit a breeze. Highly recommend
google,5,2026-03-20,true,"Everyone who works there are friendly, services are done quickly and correctly. Prices are reasonable."
google,5,2026-03-20,true,"Ed was the best amazing

Best staff I’ve ever encountered at an auto shop."
google,5,2026-03-20,true,"Gian ( the manager) does a great job at running the shop. the professionalism is beyond compared to any shop i’ve seen. Edgar & Roy (the mechanics) always get the job done BIG OR SMALL and will have your car as good as new! Jose (tire tech) & Angel (alignment tech) are your guys when it comes  to tires or needing an alignment, that’s who you go to! & last but certainly not least Jessica (ASM) is always so friendly & sweet when you walk into the door & goes above & beyond for customers. If you need your car fix COME TO MAVIS IN LAKEWOOD!!"
google,5,2026-03-20,true,The young lady’s in the office are very helpfull and honest.The techs in the shop are amazing…they are on it with everything from alignment/tires/brakes/rotors what ever you need they can be trusted!!!
google,5,2026-03-20,true,GREAT customer service done pretty quick!
google,4,2026-03-20,true,"Stop by to price out 4 tires on Thursday ,knowing they would have to order them Gino helped got them ordered and they installed next day second car into service. 4 tires 2 monitor sensors balanced and aligned done in no time. Great service and prices were reasonable and comparable."
google,5,2026-03-11,true,I when yesterday to do  oil change and there was other problems thay see it and get it right i will aways go back.
google,5,2026-03-09,true,"Have been using the Rte 70 Lakewood NJ shop for 5 yrs with multiple vehicles and have been very pleased with value and quality of work performed. All svc reps have been easy to deal with and although addl svcs at times have been recommended, deals have been discussed fairly & reasonably without hard core upselling. Would like to acknowledge Tom who has many times represented Mavis very well in terms of listening & respecting me as a customer while discussing potential addl svcs that has led to addl business -- he reps Mavis well."
google,5,2026-03-08,true,Jelcey and Jessica were very professional. Got my 4 tires and alignment done with good timing. I would definitely recommend to come to this mavis.
google,5,2026-03-07,true,Such great workers and friendly
google,5,2026-03-07,true,"pulled up ,nice and kinda people got me in and out , jose was the best with my car definitely coming back. if you want your car fix come to mavis tire shop/lakewood"
google,5,2026-03-05,true,I always get my oil changed there with a discount. Any tire repair or break repair I head straight to them.
google,5,2026-03-05,true,Head straight to them for oil changed and tires repaired. They’ll take good care of you.
google,5,2026-03-03,true,Nice and fast service
google,5,2026-03-01,true,"Great experience! Jelcey and Jessica with the rest of the team were honest, professional, and explained everything clearly before starting the repair. My car was ready on time and running perfectly. Fair pricing and no surprises. Highly recommend!"
google,5,2026-02-27,true,Jessica and Gian were amazingly helpful and timely with the work needed on my car!
google,5,2026-02-26,true,"Wow, Mavis in Lakewood is the greatest. They Price matched for me, and made it a super smooth transaction. Thank you to Jessica and Jelcey for making my experience a fantastic."
google,5,2026-02-26,true,Great
google,1,2026-02-23,true,Went in on 2/8 for a simple oil change. Upon checkout I was bombarded by two employees  insisting that my battery was not functioning at full capacity and that my brakes and rotors were warped. I declined the service and said I would deal with it at another time. My car was not giving any indication of issues. The employees would not let it go and continued to pressure me pointing out that the car was unsafe. I still declined and took the car for a second opinion. The second mechanic to check out my brakes/rotors and battery made it very clear that there was nothing wrong with either. He explained that I have AT MINIMUM 60% left to the brakes and my battery was just fine. I find Mavis in Lakewood to be untrustworthy beyond an oil change.
google,5,2026-02-21,true,Every time I visit this location the customer service is pleasant. The receptionist are warm and friendly and they greet you as soon as you enter the building. The mechanics are very helpful and thoroughly explain what maintenance services are needed for your vehicle.
google,5,2026-02-20,true,Excellent service
google,5,2026-02-15,true,"Fantastic experience at  Mavis Discount Tire The team was super knowledgeable and Edgar helped me choose the perfect tires for my Van without trying to upsell me. Olso I was in and out for an oil change in under 30 minutes, The installation was quick, professional, and the price was very reasonable. I’ll definitely be coming back for future tire needs!"""
google,5,2026-02-13,true,They are great! People really nice 10/10
google,5,2026-02-12,true,"Mavis in Lakewood did an amazing job replacing all four of my tires. They were professional, honest, and made the process easy from start to finish. Highly recommend if you want great service and quality work!"
google,1,2026-02-09,true,"They are 50% more expensive than any other place in the area , and takes them like an hour to do a simple tire patch

Do yourself a favor and go somewhere else for cheaper and an ⅛ the time"
google,5,2026-02-06,true,"Amazing service, super quick and easy, and great prices. Employees are all very kind and willing to work with you for your benefit as much as they can"
google,5,2026-02-06,true,Chelsea is great everything was great the service etc….
google,5,2026-02-02,true,"From Jessica at the desk to Gene and staff in the shop, this place is great! They are flexible with scheduling, and open 7 days!"
google,5,2026-02-01,true,"Always a great experience at this Mavis, big thanks to Jess and Gian!! 11/10!!!!!"
google,5,2026-02-01,true,LOVE this Mavis facility in Lakewood NJ.  Jess and Gian were such a pleasure to work with!!  The mechanics are great and thorough.  They have an excellent team in Lakewood!!  I have had lots of work done there and I have to say that my old 2001 GMC Jimmy runs as stronger and smoother than it has in some time!!  Thanks guys!!  You have made my day way more than once!!!
google,5,2026-01-29,true,Jess is awesome!
google,5,2026-01-29,true,Mavis helped me with my snowmobile tire!
google,5,2026-01-19,true,"I had my car serviced at Mavis and the experience was exceptional! Whether it’s an oil change, tires, repairs, or general maintenance, Gene and Jess made the process quick, easy, and stress-free. They were friendly, professional, and went above and beyond to ensure everything was handled perfectly. If you want top-notch service from a great team, Mavis is definitely the place to go!"
google,5,2026-01-19,true,Ed was great.
google,5,2026-01-17,true,"Best alignment I've ever gotten in my life, Well balanced tires and alignment feels like im driving on a cloud, thank you mavis💪🏼"
google,5,2026-01-15,true,"Great service, the staff was amazing. Especially Gian. Highly recommend!"
google,5,2026-01-14,true,Amazing customer service got 2 new tires done with care on my rims and very fast overall just very great customer service
google,5,2026-01-14,true,"quick and easy oil change. great service and fair prices, i’ll definitely be back"
google,5,2026-01-14,true,"Mavis Discount Tire provided me with an excellent oil change. An employee, Jose was polite, capable, and fast in getting me in and out. The staff avoided trying to push pointless services and provided detailed explanations of everything. The service was effective and the pricing was reasonable. I will most certainly return for maintenance in the future."
google,5,2026-01-14,true,"I got my ford bronco first every oil change , and service was great and lovely , definitely coming back."
google,5,2026-01-14,true,Had a good experience getting my oil change done at Mavis Tire. The staff was kind and I would recommend coming to this Mavis for any car needs. I will certainly be coming back!
google,5,2026-01-14,true,"Pulled up, got my tire handled fast, and was out in no time. Solid service and good vibes. Can’t complain at all."
google,5,2026-01-14,true,"fast service, good prices, and friendly workers. one of the best tire shops i’ve been to, the worker Jose was very nice and kind to me."
google,5,2026-01-14,true,"Came in for brake service and they were very honest about what I needed. No pressure, no upselling. The work was done quickly and professionally. 100% coming back"
google,5,2026-01-14,true,"Great place, amazing service all the techs are kind and helpful, very well established place."
google,5,2026-01-13,true,"Great service and helpful staff. They were honest, fast, and reasonably priced. One of the best experiences I’ve had at a tire shop. Highly recommend Mavis Tire!"
google,5,2026-01-10,true,"La mejor atención de la zona, en inglés y español todos super atentos y serviciales"
google,5,2026-01-05,true,"Mavis Tire in Lakewood is great. They’re quick, fairly priced, and always do the work right. Communication is excellent, they clearly explain what’s going on, show you the issue, and are very upfront about what they can and can’t do.
Gian, the store manager, is very helpful and friendly, the front desk staff is always pleasant, and the mechanics, especially Donald, do solid work. Highly recommend."
google,5,2025-12-30,true,"The shop went above and beyond to help me switch out my tire right away. They were extremely helpful from start to finish, and got my van back on the road again quickly. They went out of their way for me and I am greatly appreciative. I would recommend them to anyone."
google,5,2025-12-30,false,The staff are extremely professional and very helpful. They took the time to walk me through my concerns with respect to the maintenance of my truck as well as suggested future maintenance that made alot of sense. Priceless
yelp,5,2025-12-29,true,"Had a great experience at Mavis Tire for an Oil Change & Tire Rotation. Jessica was excellent super honest and professional. There was no upselling at all; if anything, she actually stopped me from spending more than I needed to. That level of integrity is rare and really appreciated. Fast, straightforward service. I'll definitely be coming back."
google,5,2025-12-28,true,"Great quick and honest service, staff was very helpful especially Jessica."
google,5,2025-12-28,true,"Had a great experience at Mavis Tire for an Oil Change & Tire Rotation. Jessica was excellent super honest and professional. There was no upselling at all; if anything, she actually stopped me from spending more than I needed to. That level of integrity is rare and really appreciated. Fast, straightforward service. I’ll definitely be coming back."
google,5,2025-12-27,true,Great customer service
google,5,2025-12-26,true,Jessica is absolutely amazing! Super helpful. Found that my serpentine belt was days away from breaking. She was able to get all services done for a reasonable price! I won’t go anywhere else for car maintenance
google,5,2025-12-22,true,Mavis did a great job replacing my tires. They offered a couple of discounts and the service at the front desk was very thorough.
google,5,2025-12-21,true,Had a screw in one of my tires and being a Sunday not many places open but Mavis was! I called and was able to get it done right away. Customer service was amazing and cost very reasonable. Back on the road after 15 minutes! Thank you Mavis!
google,5,2025-12-18,true,Jelcey and Gian did a good job helping me out and made sure everything was done right.
google,5,2025-12-13,true,Very helpful very nice staff and good time being here and job well done
google,5,2025-12-12,true,"I had a flat tire and went to Mavis Discount Tire for the repair. Their service was excellent, and the staff were very helpful and courteous. They also provided a great quote for future repairs. Highly recommended for anyone looking for reliable car service."
google,5,2025-12-11,true,Awesome service manager she really knows what she is doing clean shop
google,5,2025-12-11,true,Great service service manager was very helpful
google,5,2025-12-04,true,"Best service I have received compared to any car repair shop.
The staff is very friendly and helpful.
I desperately needed my brakes done and was already ready for an oil change.
Gian fit me in their schedule the same day and my car was ready in a pretty reasonable amount of time which I was very happy about!
You won't leave unhappy if you get your car worked on here!"
google,5,2025-11-28,true,Employees are friendly and knowledgeable.Maintenance was done in a professional and timely manner.
google,5,2025-11-27,true,Great customer service and great service.i was in and out in under 30 minutes. Not a bad price for an oil change either. Honest and friendly.
google,5,2025-11-22,true,Jessica and Jelcey were super helpful and kind. Gian was very knowledgeable and my inspection was remarkably fast.
google,5,2025-11-21,true,"Gian and chelsea are great !! They made me understand whats wrong with my tire and what is not hehehhe everything went well !! And thats at 7:30 pm ! They still have the energy and are all smiles 😊😊 !! Happiest bday anyway Gian !!

Thankyouuu ! I appreciate both ur help😊"
google,5,2025-11-17,true,Staff is great.  Had nail in my tire.Quick service.
google,1,2025-11-09,true,An Hour and a half for a oil change
google,5,2025-11-05,true,Amazing service!!!
google,5,2025-11-04,true,Best service ever!
google,5,2025-11-04,true,"Great service, good people!!"
google,5,2025-11-04,true,Great service!
google,5,2025-11-02,true,Very nice staff
yelp,5,2025-10-23,false,"Great service . Will come back again The charge was minimal.
Thank You very much. Jim"
google,5,2025-10-20,true,Nice and fast
google,2,2025-10-20,true,Had a issue back in March I was told they will give me curtsey credit and it will be saved under my phone number for if and when i would like to return. Wife went today to get oil change and being told credit doesn't exist
google,5,2025-10-19,true,"I had a same-day tire emergency, and Rich at Mavis Tire was incredible. He immediately took care of me, the Team replaced my tire within 30 minutes, and made a stressful situation a lot easier. We highly recommend - great customer service and efficiency!
- Aleeyah"
google,5,2025-10-19,true,Richie - top notch service!
google,5,2025-10-17,true,"Great service, speedy, and very accommodating! Would come back again for regular services"
google,5,2025-10-12,true,"Excellent customer service!!!! Tom , Richie and Jessica are really great they helped me out wasted no time got the job done definitely will be coming back!!"
google,1,2025-10-12,true,"10-12-25 white high guy with white hair the manager no good no respect to me., myself cancel the appointment no go back again to the shop hard time to me early this morning"
google,5,2025-10-10,true,"Thank you for a great experience!
Awesome staff. Jessica, Roy, Tom and Richie thank you."
google,4,2025-10-08,true,Service was good and fairly priced. Will continue to do business with this store
google,5,2025-10-07,true,"They were so friendly, helpful and efficient, and I never felt that they were being pushy recommending things that I didn't need. Highly recommended!"
google,5,2025-10-02,true,Jose does the best tire rotations he is the best
google,5,2025-10-02,false,Ed did a great service on my honda civic!!
google,5,2025-09-30,true,"Good service. Nice,knowledgeable guys working there."
google,5,2025-09-28,true,"I had a great experience at Mavis Discount Tire in Lakewood. Tom was amazing — friendly, professional, and very helpful. My flat tire was fixed quickly and efficiently, and the service overall was top-notch. I really appreciated how smooth and hassle-free the process was. Highly recommend this location!"
google,1,2025-09-26,false,First I walk in Owner freaks out after I had dust on my shoes then they say they don’t have the right size tires and the vending machine there stole 5 bucks from me and they don’t have the key  the one old guy was really disrespectful so then he said get out bec I had dust on my shoes
google,5,2025-09-23,true,The guys were so helpful. Tom and Gian were very helpful and ran and got a tire for my son’s car later in day.
google,5,2025-09-22,true,"Nicest people to deal with!
Amazing service!
Tom was great!"
google,5,2025-09-20,true,Been here a few times now. They always get the job done quickly and efficiently.
google,5,2025-09-18,true,"Staff is amazing.  They diagnosed my problem and actually saved me money using a Mavis brand tire rated at 70,000 miles!
I have a top-of-the-line Lexus and require top shelf service and Tom, Jessica and Mavis did not disappoint!"
google,5,2025-09-15,true,Love this mavis highly recommend
google,5,2025-09-14,false,Had a very pleasant experience here.  My rear driver's side tire pressure was reading 20.  I used my compressor to bring tire pressure up to 30 and headed over to Mavis.  They were able to repair right away since the nail was in the middle treads and not the sidewall.  They also replaced valve caps which were missing .  I was in and out approximately 30 minutes.  Thank you Mavis!
google,5,2025-09-13,true,Great service!
google,5,2025-09-10,false,"Good service, Jessica and Tom are Greats"
google,5,2025-09-08,true,Gian and Tommy took very good care of me in a very tough situation.  Gian drove to another location to pick up a replacement tire all leaning into after hours! Thankful for their skills and kindness!
google,5,2025-09-06,true,I appreciate being able to walk in and they take care of my car quickly.
google,5,2025-09-04,true,Came here for an oil change and received friendly and fast service. Would absolutely return. Website has coupons by the way.
google,5,2025-09-03,true,This tire place is extremely customer friendly...all employees are professional especially Tom who understands your car/tire needs and executes it professionally!
google,5,2025-08-28,true,Gian is the best!!
