source,rating,date,got_response,text
google,5,2026-05-18,true,Great experience.
google,5,2026-05-13,true,Wonderful customer service and great service l
google,2,2026-05-09,true,"I rarely leave negative reviews, but my recent experience with Mavis Tires & Brakes was extremely disappointing and concerning.

I originally visited the Pineville location because I had a bubble in my tire …. a serious safety issue that needed immediate attention. Since the tires I needed were not in stock, I ordered all four through Goodyear and scheduled an appointment for installation. Somehow, there was confusion between the Pineville and South Park locations regarding where my appointment was actually scheduled.

After calling ahead, I was told appointments “don’t really matter” because there was only one tire machine available. I still arrived at the South Park location at 8:30 AM hoping to get the issue resolved. By 11:15 AM, my vehicle still had not been serviced, only for me to learn that only 3 of my 4 tires had arrived and the store supposedly could not contact Goodyear because they are considered a third-party vendor.

The most frustrating part was the overall lack of communication, organization, and accountability. While waiting, I witnessed multiple other customers upset over delays and confusion as well.

I will say Brittany remained professional and understanding throughout the situation, and I appreciate her efforts. However, the overall customer experience and operational process were unacceptable … especially considering this involved a vehicle safety concern.

To make matters worse, after all the inconvenience, delays, and wasted time, I was offered only a $15 voucher, which honestly felt dismissive compared to the experience.

Mavis has significant opportunities to improve communication between locations, appointment systems, inventory coordination, and customer recovery practices.

I hope leadership takes these concerns seriously because customers deserve better."
google,5,2026-05-07,true,"The service was great, quick and efficient. The customer service was excellent as well. I really enjoyed my time there while waiting."
google,5,2026-04-29,true,Very quick service and the staff is knowledgeable and works with you! Highly recommend
google,1,2026-04-24,true,The lady manager was rude and argumentative. The two mechanics are lazy and did not want to work on my front brakes had me come to the facility twice made an appointment for them to tell me to come back in the morning. I can back and the mechanic said he couldn’t fix my issue but the manager at the front desk insisted they could. I was also advised the systems were down by the mechanic but the manager refused to understand what I was informed by her coworker it was just a mess and a waist of my time and gas. I recommend going to any concord location very professional!
google,5,2026-04-17,true,very nice people very affordable
google,5,2026-04-17,true,Brittany was amazing! I had a leak in a tire and was able to get a same day appointment and inspection while I was there.
google,5,2026-04-17,true,They are lovely people and the employees are very helpful
google,5,2026-04-15,true,They ordered me a new tire and had it put on my truck. Very easy process with little wait time. Z at the front desk was very easy to work with and made the experience a good one!
yelp,1,2026-04-11,true,"I would not recommend this shop in particular at this location to anybody so I needed brakes rotors and a caliber right stopped at mavis because it was  pretty bad. Would you believe the guy told me it was gonna be $1300 to fix it came over here off of Sharon amity and central ave to Jonas  auto paid $756. they did not understand why mavis was  up-charging me by $700. The guy was like for the parts and even  labor it does not cost $1400 and while I was at Mavis, the guy tried to convince me that I needed to stay there that they recommended I get a tow truck. They tried to do everything to  convince me to stay  and pay $700 more than what I would've paid anywhere  else I know  cars this is not the first time I had to get brakes and rotors changed the only difference was I had to change a caliber on the driver side. How in the hell is it $1400 for that never again"
google,5,2026-04-08,true,Brittany has great customer service she was really nice and a great big smile on her face. She was very knowledgeable about all the services and what would be best for me. This will be my new favorite shop to go to get my car repaired
google,5,2026-04-03,true,"Amazing service, all in! I stopped by on a whim needing a service, oil change, inspection & car wash.. they got all it taken care of for me in record time! They were so helpful and friendly, affordable, great service!"
google,5,2026-03-30,true,Great experience. Nice and very helpful from the moment I walked in!
google,5,2026-03-23,true,"Mavis Tires provided a great experience when I stopped in for a quick inspection. The team was fast, professional, and efficient from start to finish. Z was especially helpful and made the process smooth and easy.
Even though I won’t be using them for the repair I need later on, they still took the time to explain what needed to be done, which I really appreciated. After a long day at work, I was glad they were able to get me in and taken care of before closing.
Great service all around—they definitely earned the stars I’m giving them."
yelp,1,2026-03-22,false,"I posted the review below about my experience with Mavis in March. I received a response via YELP. I called and was told that once an invoice is initiated by the sales department no refunds can be made. I am still scammed out of $120.00. This is a terrible company to do business with!  

Mavis is a terrible tire company to do business with. They pretend to match or be less than any other company. They used the ""old bait and switch"" scam. When you call, they quote a cheaper price than competitors by offering ""new customer discount"" and ""family & friends discounts"". An appointment was made via email with a store. The email did not contain any of the discussed pricing. I was assured the correct pricing had been sent to the store. After I arrived at the store (heavy rainstorm), I was told the bill would be finalized with the taxes after installation. After a long delay the store informed me, I had to go to another location to get my tire installed. I was scammed out of $120.00. I called customer service stayed on the line approximately 1 hour with no results."
google,1,2026-03-22,true,I would go lower on my rating but this is as low as you can go but the service I've been getting from the Independence boulevard Mavis and the Park Road Mavis is out of this world I was told a bunch of lies that gosh strip my studs and swear he didn't do it so now I have to pay somebody to replace my studs on my wheels the guy at the Park Road location highly suggested that I needed camber bolts in order to adjust my alignment only to find out they didn't even know how to use those highly disappointed and I recommend anybody if you're going to use Mavis go to the one on South boulevard so right now I'm feeling like I paid for an alignment but didn't receive it and that is not good
google,5,2026-03-13,true,"Quick work, very efficient and helpful. I’ve come to them several times in the past year and wouldn’t go anywhere else"
google,5,2026-03-08,true,"The past few years, I’ve had my new car tires bought and serviced here always straightforward, and honest estimates of time and cost."
google,5,2026-03-08,true,James was very professional and courteous and assisted me in difficult situation. Highly recommend!
google,5,2026-03-07,true,Quick and awesome service! These guys had me in and out in just a few minutes!
google,5,2026-03-05,true,"Pulled up after work and Z was able to help me out with my TPMS sensor relearn, extremely quick and helpful 👍🏻"
yelp,1,2026-03-04,true,"Mavis is a terrible tire company to do business with.  They pretend to match or be less than any other company. They used the ""old bait and switch"" scam. When you call, they quote a cheaper price than competitors by offering ""new customer discount"" and ""family & friends discounts"". An appointment was made via email with a store. The email did not contain any of the discussed pricing. I was assured the correct pricing had been sent to the store. After I arrived at the store (heavy rainstorm), I was told the bill would be finalized with the taxes after installation. After a long delay the store informed me, I had to go to another location to get my tire installed.  I was scammed out of $120.00. I called customer service stayed on the line approximately 1 hour with no results."
google,1,2026-02-27,true,Didn’t rectify bad work
google,5,2026-02-19,true,Justin and his crew went above expectation in providing outstanding polite customer service. Thank you! I will recommend anyone to go see Justin and his hard working staff at meineke.
google,5,2026-02-18,true,Z Was Amazing And Very Friendly! Got straight to the problem and the time was remarkable! I recommend a visit from this place anytime’
google,5,2026-02-15,true,The staff was excellent very professional there tech Kevin was great
google,5,2026-02-13,true,"I got 4 new tires from Mavis and it was a great experience. I called beforehand to ask how online prices compares to prices in the store; the tech was honest and very helpful with decision making and pricing. They did not try to upsell or overcharge, did the work well and efficiently and got my car back to me same day. Can’t ask for much more"
google,5,2026-02-11,true,these guys are always great.Awesome service in the back. Z is the best upfront
google,5,2026-02-08,true,"Professional, efficient"
google,5,2026-02-06,true,Excellent costumer service. Even for a simple wiper change. Z went above and beyond. Def I’ll be back for future maintenance.!
google,5,2026-01-28,true,"I was having a rough day with my car and staff here were willing to really help me out. They had a free promo for tire rotation & balance, and then also checked out my battery / alternator at no charge. Staff were friendly and down to earth. Will be back!"
google,5,2026-01-23,true,Best shop in Charlotte!! So friendly and go above and beyond to help you get your car back on the road.
google,4,2026-01-22,true,Very friendly
google,5,2026-01-20,true,It’s great to have somebody you can trust!
google,5,2026-01-18,true,"This review is for the Mavis located at 5021 South Blvd, but I can not find their google page as I believe they’re a new location.

Incredible and quick service. Genuinely good people who want to help you out without spending an arm and a leg. Highly recommend for tire needs."
google,1,2026-01-18,true,"Called for service, wouldn’t recommend."
google,5,2026-01-15,true,7th
google,5,2026-01-14,false,Had a great experience. They explained everything I needed in a way I could understand and were honest about what was immediately needed and what I can do later.
google,5,2026-01-13,true,"Tires rotated,  advised me to change tires which I was not aware of,  thanks for being thorough"
google,5,2026-01-08,true,These guys know what they’re doing. I worked with Zee and he’s the man. Very knowledgeable and kind and even told me somethings about my car to look out for in the near future. He goes above and beyond.
