source,rating,date,got_response,text
google,5,2026-05-19,true,Great pricing and always helpful
google,5,2026-05-19,true,Excellent service and teamwork at this location.. Very professional service  and management team.
google,5,2026-05-19,false,Very satisfied with the service; the service consultant was very courteous and completed the service on schedule. Highly recommended.
google,5,2026-05-16,true,"This establishment performed exceptionally in addressing all my service needs accurately and in a timely manner, that helped me get back on the road. The customer service and technicians did an outstanding job. I would highly recommend this place to anyone."
google,5,2026-05-16,true,Today had been a great day at most part but glad to know I had Mavis discount to help me out thru my journey of the day. Was in need of an oil change and wipers plus 2 front tires and rear shocks had gave me a true reasonable price to work with and plus the Mavis rewards card that had help me out more so thanks to RICHARD & GREGORY that had made my day and my journey great full
google,5,2026-05-11,true,Service was great. Came in for a wheel alignment and was in and out in an hour. Front dest person was also great.
google,5,2026-05-09,true,"Great service, very calm and friendly vibes, and honest!"
google,5,2026-05-09,true,"I cannot thank Greg at Mavis Tire in the mall fir all the assistance he gave me in solving my delima today.

I had an issue with a tire. I was driving down Route 440, when it happened.  My tire light came on in rush hour traffic.

I was a bit overwhelmed but I was able to get of the highway into the mall parking lot.

I taught I would need to replace all 4 tires but Greg had Ernesto check all my tires. My valve core on my front driver tire was leaking air.

Ernesto was instructed by Greg to replace the valve core then dunk the tire in the tank to make sure the leak was corrected.

The process took about 45 minutes but it was worth all the effort and time lossed. My problem was solved and it did not cost me an arm and a leg.

It was a pleasure to work with such a polite, professional, and educated person. His staff was very friendly and courteous.

Very professional and trained service center."
google,5,2026-05-06,true,"Super friendly shop, were able to look at an issue with my tire in 5 minutes and were super accommodating with the process of getting a new tire.  Really great customer service !"
google,5,2026-05-06,true,"Great service with the guys Greg and Arturo..
In and out rejected time"
google,4,2026-05-04,true,It was great
google,5,2026-05-04,true,Mavis at 440 great experience very detailed informed me of what was wrong with the car and tires appreciate there service I will come back again and the gentleman at the register very polite formal And the kind
yelp,5,2026-05-03,true,"Buena calidad y servicio el personal muy ambles. 
Y rapido servicio à la llegada al 
Arturo"
google,5,2026-05-02,true,Great customer service!.. The guys work well and fast
google,5,2026-04-28,true,"Best tire place in jersey city , thank you so much for servicing my vehicle and getting back to the road"
google,5,2026-04-28,true,"Great service,  gave us great information"
google,5,2026-04-27,true,Amazing and so FAST very detailed. Definitely will use this Mavis again!😃😃😃😃😃
google,5,2026-04-27,true,"Gregory provided fantastic service from beginning to end. Professional, efficient, and courteous. Thank you Greg."
google,5,2026-04-26,true,Great Service. Quick and Informed. Came in and within a minute the technician already identified the issue and was able to fix the solution.
google,5,2026-04-22,true,Can not begin to thank Richard and the Mavis team. They were able to get me in and out and back on the road in no time. Thank you Richard !!
google,5,2026-04-21,true,Great service from Greg and his team!!
google,5,2026-04-21,true,I’ve been coming here for a year now. Always wonderful customer service and clear explanations! Best place to take your car in JC
google,5,2026-04-21,true,It’s very reasonable with the online coupons.
google,5,2026-04-20,true,Easy to deal work with. Very attentive and friendly team. Highly recommend
google,5,2026-04-20,true,"Profesional, reasonably priced, and  fast service for tire replacement. The only place that had my specific tire size in stock. They even put the spare back  neatly in its proper location."
google,5,2026-04-20,true,Amazing service!
google,5,2026-04-19,true,"Greg was great! Been to this Mavis twice this year - first to do my rear brakes, then came back to do my front brakes. Greg took care of me both times and he's been really helpful. Learned a lot and got the job done for a good price."
google,5,2026-04-17,true,Had multiple services on my car here and always a good experience. Shoutout to Greg & Junior for providing great service & always being honest!
google,1,2026-04-16,true,"They gave me a price, then after everything is done, added 25$ extra charge,  they said 150$ for everything including labor to change, but still charged it additionally, call around to other tire shops"
google,5,2026-04-14,true,Arturo was very helpful thanks
google,5,2026-04-13,true,Always a quick in and out. I’ve had AAA tow my car there several times day and night. They offer reasonable pricing and quick service
google,5,2026-04-11,true,The work was done well
google,5,2026-04-11,true,Excellent service.
google,5,2026-04-10,true,Very nice guys doing good service
google,2,2026-04-10,false,"I've been coming here for years for various repairs and routine maintenance. But, based on my last experience, I think time for Mavis to remove the word ""Discount"" from their name.

Generally, the staff is nice and they get the job done promptly if you come during their off-peak hours.

However, managament seems to change every year, and the prices for service get dramatically higher with each iteration.

This was once my go-to spot for oil changes. I have a 4 cyclinder American made car and would bring my own preferred 5-liter synthetic oil and filter, then just pay for labor costs.

Around 2020-2021 they charged around $15-$20 for labor on an oil change. Then it increased to around $30. Recently, in 2025, they charged $95 just for labor or $115 with the oil and filter included!

Based on that quote, they now charge around $75-$100 for around 15 minutes of labor!

Also, beware of the bait and switch.

For example, during one visit for an oil change, I called ahead and got a price. When I arrived, I confirmed the price.

But, when it was time to pay, the manager gave me a higher price and said it was because the pricing codes were wrong. The price is the price!

I understand mechanics often want to markup prices and add-on services when possible, but it's not fair to the customer to change the price at the end. Especially not for standard maintenance tasks.

Finally, I had one bad experience here when a mechanic actually forgot to put oil in my engine for an oil change. I figured this out while driving away and my car alerted me to check my oil. So, be sure to check your repairs before you leave.

Honesty and honoring prices are big deals when it comes to service. And of course, businesses can increase prices. But increasing prices by over 5x during the course of a few years isn't going to keep customers.

Given the mixed experiences and rapidly increasing prices, I'm looking elsewhere for auto services. Mavis has officially priced me out.

Right now, Walmart Auto charges $59 for a full synthetic oil change. That's the baseline for my next oil change and dictates where I'll be doing any maintenance going forward - it won't be here."
google,5,2026-04-10,true,I really appreciate the professionalism and service at this location. Highly recommended.
google,5,2026-04-10,true,VERY GOOD SERVICE. Came righr bwfore they closw but still accomodated me and replaced my tire!
google,5,2026-04-09,true,"Very good and convenient place to get your tires and brakes replaced. Came here to take care of emergency flat tire situations.

Greg is very helpful."
